Name,Image,Badge,Year,Price,Mileage,Transmission,Fuel
Audi Q5 Progressive S-Line,https://www.tct.pro/_next/image?url=%2FCars%2FAudiQ5ProgressiveS-Line%2FIMG-20250902-WA0003.jpg&w=3840&q=75,Disponible,2022,35 995 CAD,"93,000 km",Automatique,Essence
Audi RS7 Carbon Optic Exclusive,https://www.tct.pro/_next/image?url=%2FCars%2FAudiRS7%2FIMG-20250720-WA0029.jpg&w=3840&q=75,Disponible,2018,88 900 CAD,"82,323 km",Automatique,Essence
Bmw 320XI,https://www.tct.pro/_next/image?url=%2FCars%2FBmw320XI%2FIMG-20250903-WA0010.jpg&w=3840&q=75,Disponible,2017,13 995 CAD,"151,000 km",Automatique,Essence
Chrysler 300C,https://www.tct.pro/_next/image?url=%2FCars%2FChrysler300C%2FA2.JPG&w=3840&q=75,Disponible,2014,14 800 CAD,"141,430 km",Automatique,Essence
Ford Edge,https://www.tct.pro/_next/image?url=%2FCars%2FFordEdge%2FIMG-20250914-WA0038.jpg&w=3840&q=75,Disponible,2014,11 500 CAD,"147,000 km",Automatique,Essence
Ford Edge Sport,https://www.tct.pro/_next/image?url=%2FCars%2FFordEdgeSport%2FIMG-20250902-WA0022.jpg&w=3840&q=75,Disponible,2017,17 895 CAD,"164,546 km",Automatique,Essence
Ford Fusion,https://www.tct.pro/_next/image?url=%2FCars%2FFordFusion%2FB1.JPG&w=3840&q=75,,2012,4 200 CAD,163 000 km,Automatique,Essence
Golf GTI APR Stg 3,https://www.tct.pro/_next/image?url=%2FCars%2FGolfGTIAPRStg3%2FIMG-20250808-WA0001.jpg&w=3840&q=75,,2016,17 777 CAD,"143,000 km",Manuelle,Essence
Honda Civic Black,https://www.tct.pro/_next/image?url=%2FCars%2FHondaCivicBlack%2FIMG-20250808-WA0023.jpg&w=3840&q=75,,2023,23 000 CAD,"88,000 km",Automatique,Essence
Honda Civic Red,https://www.tct.pro/_next/image?url=%2FCars%2FHondaCivicRed%2FIMG-20250808-WA0034.jpg&w=3840&q=75,,2019,18 000 CAD,"55,000 km",Automatique,Essence
Hummer H3,https://www.tct.pro/_next/image?url=%2FCars%2FHummerH3%2FIMG-20250720-WA0012.jpg&w=3840&q=75,,2006,9 999 CAD,"122,340 km",Automatique,Essence
Hyundai Elantra,https://www.tct.pro/_next/image?url=%2FCars%2FHyundaiElantra%2FE2.JPG&w=3840&q=75,,2017,10 900 CAD,"163,800 km",Automatique,Essence
Infiniti QX50,https://www.tct.pro/_next/image?url=%2FCars%2FInfinitiQX50%2FIMG-20250720-WA0047.jpg&w=3840&q=75,,2015,8 950 CAD,"175,000 km",Automatique,Essence
Kia Sedona,https://www.tct.pro/_next/image?url=%2FCars%2FKiaSedona%2FIMG-20250914-WA0033.jpg&w=3840&q=75,Disponible,2020,19 995 CAD,"93,000 km",Automatique,Essence
Mercedes C300 4MATIC AMG,https://www.tct.pro/_next/image?url=%2FCars%2FMercedesC300AMG%2FIMG-20250903-WA0025.jpg&w=3840&q=75,Disponible,2016,17 995 CAD,"102,000 km",Automatique,Essence
Mercedes C63 P31 Package,https://www.tct.pro/_next/image?url=%2FCars%2FMercedesC63%2FIMG-20250814-WA0022.jpg&w=3840&q=75,,2013,41 099 CAD,"73,000 km",Automatique,Essence
Nissan Rogue SL,https://www.tct.pro/_next/image?url=%2FCars%2FNissanRogueSL%2FIMG-20250905-WA0017.jpg&w=3840&q=75,Disponible,2014,13 995 CAD,"104,200 km",Automatique,Essence
Nissan Sentra,https://www.tct.pro/_next/image?url=%2FCars%2FNissanSentra%2FIMG-20250720-WA0024.jpg&w=3840&q=75,,2012,5 200 CAD,"83,000 km",Automatique,Essence
Range Rover Super Charged,https://www.tct.pro/_next/image?url=%2FCars%2FRangeRoverSuperCharged%2FIMG-20250914-WA0011.jpg&w=3840&q=75,Disponible,2019,49 999 CAD,"103,000 km",Automatique,Diesel
Volvo XC90,https://www.tct.pro/_next/image?url=%2FCars%2FVolvoXC90%2FIMG-20250808-WA0012.jpg&w=3840&q=75,Disponible,2005,5 750 CAD,"141,000 km",Automatique,Essence
